x,y
28840.3150310000,-29.2511603090
30199.5172040000,-29.6507062418
31622.7766020000,-30.0502920863
33113.1121480000,-30.4499143373
34673.6850450000,-30.8495697975
36307.8054770000,-31.2492555498
38018.9396320000,-31.6489689326
39810.7170550000,-32.0487075182
41686.9383470000,-32.4484690918
43651.5832240000,-32.8482516326
45708.8189610000,-33.2480532982
47863.0092320000,-33.6478724070
50118.7233630000,-34.0477074260
52480.7460250000,-34.4475569558
54954.0873860000,-34.8474197207
57543.9937340000,-35.2472945573
60255.9586070000,-35.6471804035
63095.7344480000,-36.0470762913
66069.3448010000,-36.4469813380
69183.0970920000,-36.8468947381
72443.5960080000,-37.2468157557
75857.7575030000,-37.6467437221
79432.8234720000,-38.0466780260
83176.3771100000,-38.4466181091
87096.3589960000,-38.8465634632
91201.0839360000,-39.2465136253
95499.2586020000,-39.6464681723
100000.0000000000,-40.0464267181
