x,y
8317.6377110000,-83.1803033281
8709.6358996000,-83.4845396977
9120.1083936000,-83.7754282867
9549.9258602000,-84.0535259960
10000.0000000000,-84.3193701805
10471.2854810000,-84.5734788467
10964.7819610000,-84.8163509193
11481.5362150000,-85.0484665729
12022.6443460000,-85.2702876126
12589.2541180000,-85.4822578930
13182.5673860000,-85.6848037702
13803.8426460000,-85.8783345760
14454.3977070000,-86.0632431117
15135.6124840000,-86.2399061514
15848.9319250000,-86.4086849544
16595.8690740000,-86.5699257802
17378.0082870000,-86.7239604036
18197.0085860000,-86.8711066260
19054.6071800000,-87.0116687827
19952.6231500000,-87.1459382414
20892.9613090000,-87.2741938936
21877.6162390000,-87.3967026335
22908.6765280000,-87.5137198278
23988.3291900000,-87.6254897718
25118.8643150000,-87.7322461344
26302.6799190000,-87.8342123881
27542.2870330000,-87.9316022277
28840.3150310000,-88.0246199738
30199.5172040000,-88.1134609640
31622.7766020000,-88.1983119290
33113.1121480000,-88.2793513570
34673.6850450000,-88.3567498436
36307.8054770000,-88.4306704289
38018.9396320000,-88.5012689217
39810.7170550000,-88.5686942114
41686.9383470000,-88.6330885674
43651.5832240000,-88.6945879266
45708.8189610000,-88.7533221692
47863.0092320000,-88.8094153836
50118.7233630000,-88.8629861199
52480.7460250000,-88.9141476332
54954.0873860000,-88.9630081169
57543.9937340000,-89.0096709258
60255.9586070000,-89.0542347897
63095.7344480000,-89.0967940185
66069.3448010000,-89.1374386975
69183.0970920000,-89.1762548757
72443.5960080000,-89.2133247445
75857.7575030000,-89.2487268096
79432.8234720000,-89.2825360553
83176.3771100000,-89.3148241011
87096.3589960000,-89.3456593520
91201.0839360000,-89.3751071420
95499.2586020000,-89.4032298716
100000.0000000000,-89.4300871385
