x,y
23509.1787545729,-87.5771957302
24244.6201708233,-87.6506059465
25003.0685190633,-87.7217966951
25785.2435288428,-87.7908346524
26591.8874451270,-87.8577845293
27423.7657326495,-87.9227091257
28281.6678023003,-87.9856693843
29166.4077602371,-88.0467244424
30078.8251804310,-88.1059316830
31019.7859013810,-88.1633467844
31990.1828477507,-88.2190237691
32990.9368777095,-88.2730150507
34022.9976567807,-88.3253714803
35087.3445590272,-88.3761423913
36184.9875964275,-88.4253756437
37316.9683773276,-88.4731176661
38484.3610948743,-88.5194134980
39688.2735463717,-88.5643068296
40929.8481845244,-88.6078400418
42210.2632015691,-88.6500542442
43530.7336473189,-88.6909893125
44892.5125821861,-88.7306839246
46296.8922662728,-88.7691755961
47745.2053856613,-88.8065007147
49238.8263170675,-88.8426945731
50779.1724320540,-88.8777914018
52367.7054420467,-88.9118244005
54005.9327854237,-88.9448257687
55695.4090580015,-88.9768267354
57437.7374882659,-89.0078575878
59234.5714587581,-89.0379476999
61087.6160750504,-89.0671255591
62998.6297838070,-89.0954187933
64969.4260414612,-89.1228541961
67001.8750350960,-89.1494577518
69097.9054571564,-89.1752546600
71259.5063356842,-89.2002693588
73488.7289218038,-89.2245255477
75787.6886362594,-89.2480462099
78158.5670768408,-89.2708536334
80603.6140886135,-89.2929694325
83125.1498989065,-89.3144145676
85725.5673190933,-89.3352093649
88407.3340152508,-89.3553735357
91172.9948498493,-89.3749261949
94025.1742967015,-89.3938858787
96966.5789314552,-89.4122705623
100000.0000000002,-89.4300976766
